2024-03-25 10:15:28,292.292	INFO	[main.py:37]	Config: {"exchange": {"volume": 3000}, "traders": [{"count": 10, "type": "Random", "cash": 1000, "assets": 0}, {"count": 10, "type": "Random", "cash": 1000, "assets": 0}, {"count": 10, "type": "Chartist", "cash": 1000, "assets": 0}, {"count": 10, "type": "MarketMaker", "cash": 10000, "softlimit": 100, "assets": 0}], "events": [{"type": "SignalThreshold", "it": 200, "signal_threshold": 1, "traders": []}], "size": 10, "window": 5, "stability_threshold": 5, "iterations": 1000}
2024-03-25 10:15:28,294.294	ERROR	[main.py:43]	Scenario: scenario1. Configs: [240]
2024-03-25 10:15:28,294.294	ERROR	[main.py:48]	Config: #0
2024-03-25 10:15:28,294.294	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:15:29,375.375	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:15:31,220.220	ERROR	[main.py:48]	Config: #1
2024-03-25 10:15:31,220.220	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:15:32,408.408	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:15:34,211.211	ERROR	[main.py:48]	Config: #2
2024-03-25 10:15:34,211.211	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:15:35,911.911	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:15:37,683.683	ERROR	[main.py:48]	Config: #3
2024-03-25 10:15:37,683.683	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:15:39,743.743	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:15:41,625.625	ERROR	[main.py:48]	Config: #4
2024-03-25 10:15:41,626.626	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:15:42,815.815	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:15:44,652.652	ERROR	[main.py:48]	Config: #5
2024-03-25 10:15:44,652.652	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:15:46,118.118	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:15:47,868.868	ERROR	[main.py:48]	Config: #6
2024-03-25 10:15:47,868.868	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:15:49,777.777	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:15:51,607.607	ERROR	[main.py:48]	Config: #7
2024-03-25 10:15:51,607.607	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:15:54,009.009	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:15:55,837.837	ERROR	[main.py:48]	Config: #8
2024-03-25 10:15:55,837.837	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:15:57,503.503	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:15:59,406.406	ERROR	[main.py:48]	Config: #9
2024-03-25 10:15:59,406.406	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:16:01,125.125	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:16:02,966.966	ERROR	[main.py:48]	Config: #10
2024-03-25 10:16:02,966.966	ERROR	[main.py:49]	Events: [{'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}]
2024-03-25 10:16:05,692.692	INFO	[export.py:58]	Event: {'type': 'SignalThreshold', 'it': 200, 'signal_threshold': 10, 'traders': ['Random']}. State it: 19
2024-03-25 10:16:07,433.433	ERROR	[main.py:48]	Config: #11
