,Threshold_1,Threshold_2,Type,PValueAvg,Wilcoxon_PValue,Kruskal_PValue,MannWhitney_PValue,KolmogorovSmirnov_PValue
0,0,1,orders_per_trader,0.7863999999999999879207734920782968401909,0.5433000000000000051514348342607263475657,0.8640999999999999792166249790170695632696,0.8643999999999999461763877661724109202623,0.8739999999999999991118215802998747676611
1,0,2,orders_per_trader,0.6414999999999999591437926937942393124104,0.0792999999999999954924945200218644458801,0.7502999999999999669597627871553413569927,0.7506000000000000449418280368263367563486,0.9856000000000000316191517413244582712650
2,0,5,orders_per_trader,0.5000000000000000000000000000000000000000,0.0017999999999999999507338532822586785187,0.5620000000000000550670620214077644050121,0.5623000000000000220268248085631057620049,0.8739999999999999991118215802998747676611
3,0,10,orders_per_trader,0.4056000000000000160760293965722667053342,0.0000000000000000000000000000000000000000,0.4803000000000000047073456244106637313962,0.4804999999999999826805208158475579693913,0.6614999999999999769073610877967439591885
4,1,2,orders_per_trader,0.8238999999999999657163129995751660317183,0.6056000000000000271782596428238321095705,0.8519999999999999795718963468971196562052,0.8521999999999999575450715383340138942003,0.9856000000000000316191517413244582712650
5,1,5,orders_per_trader,0.5840999999999999525712723880133125931025,0.0106000000000000000471844785465691529680,0.6811000000000000387245790989254601299763,0.6813000000000000166977542903623543679714,0.9631999999999999451105736625322606414557
6,1,10,orders_per_trader,0.3901999999999999912958514869387727230787,0.0001000000000000000047921736023859295983,0.5252000000000000001776356839400250464678,0.5253999999999999781508108753769192844629,0.5102999999999999758415469841565936803818
7,2,5,orders_per_trader,0.6494999999999999662492200513952411711216,0.0596000000000000001998401444325281772763,0.7874999999999999777955395074968691915274,0.7877999999999999447553022946522105485201,0.9631999999999999451105736625322606414557
8,2,10,orders_per_trader,0.5651000000000000467181848762265872210264,0.0025000000000000000520417042793042128324,0.6659000000000000474287276119866874068975,0.6662000000000000143884903991420287638903,0.9258999999999999452882093464722856879234
9,5,10,orders_per_trader,0.8021000000000000351718654201249592006207,0.4204999999999999849009668650978710502386,0.9010000000000000230926389122032560408115,0.9012999999999999900524016993585973978043,0.9856000000000000316191517413244582712650
